ID,Term,Abbreviation / Expansion,Plain-Language Definition,Category,Specialty,NCLEX Relevance,Related Terms,Editorial Status,Search Keywords
1,ABC,"Airway, Breathing, Circulation",A priority framework used to address immediate threats to life.,Fundamentals,All,High,CAB; Primary survey,Curated core release,"abc airway, breathing, circulation cab; primary survey"
2,Abduction,,Movement away from the body's midline.,Anatomy & Physiology,All,Medium,Adduction; Range of motion,Curated core release,abduction  adduction; range of motion
3,ABG,Arterial blood gas,"A blood test measuring oxygenation, ventilation, and acid-base status.",Labs & Diagnostics,Critical Care,High,pH; PaCO2; HCO3; PaO2,Curated core release,abg arterial blood gas ph; paco2; hco3; pao2
4,Acidosis,,A state in which blood pH is below the normal range.,Acid-Base,Critical Care,High,Respiratory acidosis; Metabolic acidosis,Curated core release,acidosis  respiratory acidosis; metabolic acidosis
5,Acute coronary syndrome,ACS,"A group of conditions caused by sudden reduction of blood flow to the heart, including myocardial infarction and unstable angina.",Cardiovascular,Cardiac,High,Myocardial infarction; Angina,Curated core release,acute coronary syndrome acs myocardial infarction; angina
6,Acute kidney injury,AKI,A sudden decline in kidney function that causes waste products and fluid to accumulate.,Renal,Med-Surg,High,Creatinine; Urine output,Curated core release,acute kidney injury aki creatinine; urine output
7,Adduction,,Movement toward the body's midline.,Anatomy & Physiology,All,Medium,Abduction; Range of motion,Curated core release,adduction  abduction; range of motion
8,ADL,Activities of daily living,"Basic self-care tasks such as bathing, dressing, eating, toileting, and mobility.",Fundamentals,All,High,IADL; Functional status,Curated core release,adl activities of daily living iadl; functional status
9,Advance directive,,A legal document stating a person's healthcare wishes if they cannot communicate them.,Ethics & Legal,All,High,Living will; Healthcare proxy,Curated core release,advance directive  living will; healthcare proxy
10,Adverse effect,,An unintended and harmful response to a medication or treatment.,Pharmacology,All,High,Side effect; Contraindication,Curated core release,adverse effect  side effect; contraindication
11,Afterload,,The resistance the ventricle must overcome to eject blood.,Cardiovascular,Critical Care,High,Preload; Stroke volume,Curated core release,afterload  preload; stroke volume
12,Agonist,,A substance that binds to a receptor and activates a response.,Pharmacology,All,Medium,Antagonist; Receptor,Curated core release,agonist  antagonist; receptor
13,Airborne precautions,,Infection-control measures for pathogens that remain suspended in the air.,Infection Control,All,High,N95 respirator; Negative-pressure room,Curated core release,airborne precautions  n95 respirator; negative-pressure room
14,Albumin,,A major blood protein that helps maintain oncotic pressure and transports substances.,Labs & Diagnostics,Med-Surg,Medium,Oncotic pressure; Edema,Curated core release,albumin  oncotic pressure; edema
15,Albuterol,,A short-acting beta2 agonist bronchodilator used to relieve bronchospasm.,Pharmacology,Respiratory,High,Bronchodilator; Asthma,Curated core release,albuterol  bronchodilator; asthma
16,Aldosterone,,A hormone that promotes sodium and water retention and potassium excretion.,Endocrine,Med-Surg,Medium,RAAS; Potassium; Sodium,Curated core release,aldosterone  raas; potassium; sodium
17,Alkalosis,,A state in which blood pH is above the normal range.,Acid-Base,Critical Care,High,Respiratory alkalosis; Metabolic alkalosis,Curated core release,alkalosis  respiratory alkalosis; metabolic alkalosis
18,Anaphylaxis,,"A severe, rapid systemic allergic reaction that can compromise the airway and circulation.",Emergency,ER,High,Epinephrine; Airway; Shock,Curated core release,anaphylaxis  epinephrine; airway; shock
19,Anemia,,A reduction in red blood cells or hemoglobin that decreases oxygen-carrying capacity.,Hematology,Med-Surg,High,Hemoglobin; Hematocrit,Curated core release,anemia  hemoglobin; hematocrit
20,Angina pectoris,,Chest discomfort caused by temporary myocardial ischemia.,Cardiovascular,Cardiac,High,Ischemia; Nitroglycerin; ACS,Curated core release,angina pectoris  ischemia; nitroglycerin; acs
21,Antagonist,,A substance that blocks or reduces the action of a receptor or another substance.,Pharmacology,All,Medium,Agonist; Receptor,Curated core release,antagonist  agonist; receptor
22,Antibody,,A protein made by the immune system that recognizes a specific antigen.,Immunology,All,Medium,Antigen; Immunity,Curated core release,antibody  antigen; immunity
23,Anticoagulant,,A medication that reduces the blood's ability to form clots.,Pharmacology,All,High,Heparin; Warfarin; Bleeding,Curated core release,anticoagulant  heparin; warfarin; bleeding
24,Antiemetic,,A medication used to prevent or treat nausea and vomiting.,Pharmacology,All,Medium,Ondansetron; Nausea,Curated core release,antiemetic  ondansetron; nausea
25,Antigen,,A substance that can trigger an immune response.,Immunology,All,Medium,Antibody; Immunity,Curated core release,antigen  antibody; immunity
26,Antipyretic,,A medication used to reduce fever.,Pharmacology,All,Medium,Acetaminophen; Fever,Curated core release,antipyretic  acetaminophen; fever
27,Anuria,,Extremely low or absent urine production.,Renal,Med-Surg,High,Oliguria; AKI,Curated core release,anuria  oliguria; aki
28,Aphasia,,"Impaired ability to understand or produce language, often after brain injury or stroke.",Neurologic,Neuro,High,Dysphasia; Stroke,Curated core release,aphasia  dysphasia; stroke
29,Apnea,,Temporary cessation of breathing.,Respiratory,All,High,Hypoventilation; Respiratory arrest,Curated core release,apnea  hypoventilation; respiratory arrest
30,Ascites,,Abnormal accumulation of fluid in the abdominal cavity.,Gastrointestinal,Med-Surg,High,Cirrhosis; Fluid balance,Curated core release,ascites  cirrhosis; fluid balance
31,Asepsis,,Practices used to prevent contamination by disease-causing microorganisms.,Infection Control,All,High,Sterile technique; Medical asepsis,Curated core release,asepsis  sterile technique; medical asepsis
32,Aspiration,,"Entry of food, fluid, secretions, or foreign material into the airway.",Respiratory,All,High,Dysphagia; Aspiration precautions,Curated core release,aspiration  dysphagia; aspiration precautions
33,Asthma,,A chronic inflammatory airway disorder characterized by variable airflow obstruction and bronchospasm.,Respiratory,Respiratory,High,Wheezing; Albuterol,Curated core release,asthma  wheezing; albuterol
34,Ataxia,,Impaired coordination or balance.,Neurologic,Neuro,Medium,Cerebellum; Fall risk,Curated core release,ataxia  cerebellum; fall risk
35,Atelectasis,,"Collapse or incomplete expansion of alveoli, reducing gas exchange.",Respiratory,Med-Surg,High,Incentive spirometry; Hypoxemia,Curated core release,atelectasis  incentive spirometry; hypoxemia
36,Atrial fibrillation,AFib,An irregular atrial rhythm that can reduce cardiac efficiency and increase stroke risk.,Cardiovascular,Cardiac,High,Anticoagulation; Dysrhythmia,Curated core release,atrial fibrillation afib anticoagulation; dysrhythmia
37,Autonomy,,The ethical principle that patients have the right to make informed decisions about their care.,Ethics & Legal,All,High,Informed consent; Capacity,Curated core release,autonomy  informed consent; capacity
38,Bacteremia,,Presence of bacteria in the bloodstream.,Infection,Critical Care,Medium,Sepsis; Blood culture,Curated core release,bacteremia  sepsis; blood culture
39,Beneficence,,The ethical duty to act for the patient's benefit.,Ethics & Legal,All,High,Nonmaleficence; Ethics,Curated core release,beneficence  nonmaleficence; ethics
40,Bilirubin,,A yellow pigment produced from red blood cell breakdown and processed by the liver.,Labs & Diagnostics,Med-Surg,Medium,Jaundice; Liver function,Curated core release,bilirubin  jaundice; liver function
41,Blood culture,,A laboratory test used to detect microorganisms in the bloodstream.,Labs & Diagnostics,Critical Care,High,Bacteremia; Sepsis,Curated core release,blood culture  bacteremia; sepsis
42,Blood urea nitrogen,BUN,A blood measurement of urea nitrogen used with other findings to assess kidney function and hydration.,Labs & Diagnostics,Renal,High,Creatinine; Renal function,Curated core release,blood urea nitrogen bun creatinine; renal function
43,Bolus,,A medication or fluid dose given over a relatively short period.,Pharmacology,All,High,IV infusion; Loading dose,Curated core release,bolus  iv infusion; loading dose
44,Bowel sounds,,Sounds produced by movement of contents through the gastrointestinal tract and heard during abdominal assessment.,Assessment,Med-Surg,High,Auscultation; Ileus,Curated core release,bowel sounds  auscultation; ileus
45,Braden Scale,,A tool used to estimate a patient's risk for developing a pressure injury.,Safety,All,High,Pressure injury; Skin assessment,Curated core release,braden scale  pressure injury; skin assessment
46,Bradycardia,,A heart rate slower than the expected range for the patient's age and condition.,Cardiovascular,Cardiac,High,Atropine; Heart rate,Curated core release,bradycardia  atropine; heart rate
47,Bradypnea,,A respiratory rate slower than the expected range.,Respiratory,All,Medium,Tachypnea; Respiratory depression,Curated core release,bradypnea  tachypnea; respiratory depression
48,Bronchodilator,,A medication that relaxes airway smooth muscle and widens the bronchi.,Pharmacology,Respiratory,High,Albuterol; Bronchospasm,Curated core release,bronchodilator  albuterol; bronchospasm
49,Bronchospasm,,Constriction of bronchial smooth muscle that narrows the airways.,Respiratory,Respiratory,High,Wheezing; Bronchodilator,Curated core release,bronchospasm  wheezing; bronchodilator
50,CAB,"Compressions, Airway, Breathing",The adult basic life support sequence emphasizing early chest compressions.,Emergency,ER,High,CPR; ABC,Curated core release,"cab compressions, airway, breathing cpr; abc"
51,Capillary refill,,A quick assessment of peripheral perfusion based on how rapidly color returns after pressure is released.,Assessment,All,High,Perfusion; Circulation,Curated core release,capillary refill  perfusion; circulation
52,Cardiac output,CO,The amount of blood pumped by the heart each minute; heart rate multiplied by stroke volume.,Cardiovascular,Critical Care,High,Stroke volume; Heart rate,Curated core release,cardiac output co stroke volume; heart rate
53,Cardiopulmonary resuscitation,CPR,Emergency chest compressions with ventilation support used when a person has no effective circulation.,Emergency,All,High,CAB; Cardiac arrest,Curated core release,cardiopulmonary resuscitation cpr cab; cardiac arrest
54,Catheter-associated urinary tract infection,CAUTI,A urinary tract infection associated with an indwelling urinary catheter.,Infection Control,All,High,Foley catheter; UTI,Curated core release,catheter-associated urinary tract infection cauti foley catheter; uti
55,Central line-associated bloodstream infection,CLABSI,A bloodstream infection associated with a central venous catheter.,Infection Control,Critical Care,High,Central line; Hand hygiene,Curated core release,central line-associated bloodstream infection clabsi central line; hand hygiene
